cms_claim_id,reporting_quarter,state,city,zip_code,hcpcs_code,equipment_category,beneficiary_count,total_claims,total_allowed,total_paid,provider_type,home_health_share,competitor_count
CMS-0000001,Q4-2025,CT,CT_City_1,35259,E0433,Respiratory,4,196,20929.08,3453.86,Home Health Agency,False,1
CMS-0000002,Q4-2025,NC,Raleigh,45442,E0433,Respiratory,3,67,617.42,30120.35,DME Supplier,False,1
CMS-0000003,Q4-2025,WY,WY_City_2,12562,E0470,Sleep Therapy,3,84,6503.3,43851.09,Physician Office,True,6
CMS-0000004,Q4-2025,IA,IA_City_3,46003,E0465,Respiratory,18,64,22485.17,19264.01,Physician Office,False,4
CMS-0000005,Q4-2025,ID,ID_City_2,17712,E0424,Respiratory,18,97,7237.5,32647.26,Hospital Outpatient,True,8
CMS-0000006,Q4-2025,ID,ID_City_3,70006,E0570,Respiratory,24,156,7188.7,10767.31,Home Health Agency,False,8
CMS-0000007,Q4-2025,GA,Augusta,21846,E0465,Respiratory,4,185,19531.4,19548.59,Hospital Outpatient,False,7
CMS-0000008,Q4-2025,ID,ID_City_1,47454,E0570,Respiratory,30,131,19096.08,33262.13,Physician Office,False,6
CMS-0000009,Q4-2025,LA,LA_City_2,72656,E0570,Respiratory,16,197,23691.2,41362.25,DME Supplier,False,1
CMS-0000010,Q4-2025,TX,San Antonio,86551,E0433,Respiratory,36,82,33321.65,34265.45,Home Health Agency,True,3
CMS-0000011,Q4-2025,DE,DE_City_2,47499,E0570,Respiratory,38,147,12730.84,31570.18,Home Health Agency,True,3
CMS-0000012,Q4-2025,MS,MS_City_1,44548,E0424,Respiratory,37,120,31046.23,19300.78,DME Supplier,True,7
CMS-0000013,Q4-2025,IN,IN_City_3,92294,E0465,Respiratory,4,162,19856.47,17485.4,Home Health Agency,True,5
CMS-0000014,Q4-2025,GA,Athens,95703,E0465,Respiratory,23,191,18405.3,3867.46,DME Supplier,False,6
CMS-0000015,Q4-2025,AR,AR_City_2,66778,E0433,Respiratory,45,67,40724.12,17600.88,DME Supplier,False,2
CMS-0000016,Q4-2025,MI,Warren,42596,E0431,Respiratory,21,125,43908.21,27395.96,DME Supplier,False,6
CMS-0000017,Q4-2025,WI,WI_City_2,63107,E0431,Respiratory,46,19,26658.77,28597.64,Physician Office,False,7
CMS-0000018,Q4-2025,UT,UT_City_2,47352,E0431,Respiratory,14,126,13976.25,38292.76,Home Health Agency,False,7
CMS-0000019,Q4-2025,CO,CO_City_2,29940,E0424,Respiratory,24,169,14304.71,30250.64,Home Health Agency,False,2
CMS-0000020,Q4-2025,IL,Naperville,76145,E0433,Respiratory,9,70,25947.99,41687.85,Physician Office,False,8
CMS-0000021,Q4-2025,KS,KS_City_2,42861,E0431,Respiratory,47,82,25594.33,30854.0,Home Health Agency,True,8
CMS-0000022,Q4-2025,WI,WI_City_3,78332,E0470,Sleep Therapy,47,68,39549.9,3930.88,Hospital Outpatient,False,7
CMS-0000023,Q4-2025,SD,SD_City_3,28765,E0433,Respiratory,26,76,20000.64,10847.22,Home Health Agency,True,8
CMS-0000024,Q4-2025,AL,AL_City_1,22060,E0470,Sleep Therapy,8,200,29582.48,28602.88,Hospital Outpatient,True,1
CMS-0000025,Q4-2025,CO,CO_City_2,97126,E0465,Respiratory,36,171,20996.49,31387.38,Physician Office,False,7
CMS-0000026,Q4-2025,NE,NE_City_1,68868,E0470,Sleep Therapy,30,57,15673.09,43349.58,Hospital Outpatient,False,2
CMS-0000027,Q4-2025,IL,Chicago,91004,E0431,Respiratory,36,140,47748.31,20997.48,Hospital Outpatient,False,6
CMS-0000028,Q4-2025,OH,Cleveland,33650,E0431,Respiratory,13,60,27986.46,16787.06,Home Health Agency,True,7
CMS-0000029,Q4-2025,CA,San Diego,55109,E0424,Respiratory,12,19,35888.21,26956.04,Hospital Outpatient,True,4
