location_id,location_name,address,city,state,zip_code,region,phone,manager,open_date,is_active,square_footage,employee_count
LOC-0001,Lincare AZ_City_2 #3,720 Main St,AZ_City_2,AZ,17113,Mid-Atlantic,(382) 457-2154,Thomas Rodriguez,2018-04-14,True,6662,30
LOC-0002,Lincare NJ_City_2 #4,2038 Cedar St,NJ_City_2,NJ,94072,Northeast,(937) 833-2036,Robert Williams,2016-01-17,True,2369,23
LOC-0003,Lincare VA_City_2 #1,4712 Health Dr,VA_City_2,VA,59992,West,(604) 876-1504,Nancy Garcia,2009-11-11,True,4703,39
LOC-0004,Lincare MA_City_3 #3,6213 Main Rd,MA_City_3,MA,82754,Southeast,(344) 326-1684,James Jackson,2017-09-04,True,2197,24
LOC-0005,Lincare KS_City_3 #3,3569 Elm Rd,KS_City_3,KS,28671,Mid-Atlantic,(364) 388-4617,Sarah Miller,2005-02-20,True,6147,8
LOC-0006,Lincare Erie #5,1298 Pine St,Erie,PA,42858,Mid-Atlantic,(300) 402-8982,Linda Lopez,2005-10-01,True,3421,11
LOC-0007,Lincare MA_City_3 #2,5306 Elm Dr,MA_City_3,MA,53036,Northeast,(831) 875-6008,David Jackson,2016-05-07,True,5008,15
LOC-0008,Lincare AL_City_2 #2,7245 Pine Blvd,AL_City_2,AL,27603,Southeast,(895) 950-6432,Nancy Anderson,2019-12-23,True,4002,36
LOC-0009,Lincare Philadelphia #5,1443 Health Blvd,Philadelphia,PA,28350,Southeast,(751) 401-5312,Michael Williams,2000-11-01,True,6674,6
LOC-0010,Lincare SC_City_3 #5,3585 Main Rd,SC_City_3,SC,44159,Southwest,(756) 752-8734,David Lopez,2017-08-09,True,7825,42
LOC-0011,Lincare WI_City_2 #4,8310 Cedar St,WI_City_2,WI,62007,Southeast,(572) 714-1173,Thomas Martin,2007-06-10,True,2649,33
LOC-0012,Lincare Aurora #5,2495 Market Dr,Aurora,IL,57028,West,(241) 424-8989,Thomas Williams,2011-11-10,True,1850,18
LOC-0013,Lincare OK_City_2 #4,7548 Main St,OK_City_2,OK,95003,Southwest,(531) 305-9542,Sarah Rodriguez,2007-10-19,True,4600,28
LOC-0014,Lincare SC_City_3 #1,8565 Pine Dr,SC_City_3,SC,39215,Pacific,(728) 615-6781,Elizabeth Thomas,2021-08-16,True,1554,37
LOC-0015,Lincare Columbus #2,1363 Cedar Blvd,Columbus,GA,37723,Southeast,(353) 391-3578,Elizabeth Martin,2005-04-22,True,4896,26
LOC-0016,Lincare WI_City_1 #4,7948 Oak Rd,WI_City_1,WI,31134,Southwest,(862) 620-1367,Thomas Johnson,2005-09-26,True,2819,13
LOC-0017,Lincare Fort Worth #5,2506 Main Ave,Fort Worth,TX,43850,Northeast,(384) 729-7642,James Martinez,2003-11-05,True,6468,35
LOC-0018,Lincare Raleigh #4,9944 Oak Rd,Raleigh,NC,33839,Southeast,(838) 875-9369,Sarah Garcia,2015-05-16,True,6386,42
