appeal_id,denial_id,claim_id,location_id,payer_code,appeal_date,appeal_level,appeal_reason,supporting_docs,outcome,outcome_date,recovered_amount,appeal_specialist,turnaround_days,payer_response_notes
APP-00001,DEN-000002,CLM-0000019,LOC-0368,MEDICAID,2026-04-07,First Level,Coding correction,CMN,PENDING,,0,Karen Davis,,Partial payment approved
APP-00002,DEN-000003,CLM-0000031,LOC-0597,MEDICARE,2026-01-25,First Level,Timely filing exception,Sleep Study,OVERTURNED,2026-02-12,368.97,James Jackson,25,Denied - exhausted appeals
APP-00003,DEN-000006,CLM-0000056,LOC-0475,MEDICARE,2026-03-03,First Level,Coding correction,CMN,UPHELD,2026-03-17,0,Thomas Garcia,38,Denied - exhausted appeals
APP-00004,DEN-000008,CLM-0000076,LOC-0461,MEDICARE,2026-04-01,First Level,Medical necessity proven,Sleep Study,UPHELD,2026-04-17,0,Lisa Martinez,60,Partial payment approved
APP-00005,DEN-000009,CLM-0000083,LOC-0507,MEDICAID,2026-02-26,Second Level,CMN submitted,Sleep Study,PENDING,,0,Michael Martin,,Still under review
APP-00006,DEN-000010,CLM-0000086,LOC-0564,UHC,2026-01-29,Second Level,Medical necessity proven,PFT Results,UPHELD,2026-02-12,0,Maria Taylor,34,Documentation sufficient
APP-00007,DEN-000012,CLM-0000094,LOC-0015,MEDICARE,2026-04-27,First Level,CMN submitted,CMN,UPHELD,2026-06-11,0,David Miller,14,Partial payment approved
APP-00008,DEN-000015,CLM-0000105,LOC-0626,AETNA,2026-02-16,Second Level,CMN submitted,Sleep Study,UPHELD,2026-04-01,0,Joseph Thomas,53,Documentation sufficient
APP-00009,DEN-000016,CLM-0000107,LOC-0557,AETNA,2026-04-11,First Level,Prior auth obtained retroactively,Prior Auth Letter,UPHELD,2026-05-05,0,Karen Anderson,42,Documentation sufficient
APP-00010,DEN-000017,CLM-0000124,LOC-0004,AETNA,2026-02-25,First Level,Additional documentation provided,Prior Auth Letter,UPHELD,2026-03-22,0,Nancy Garcia,59,Claim approved after review
APP-00011,DEN-000018,CLM-0000126,LOC-0429,MEDICARE,2026-01-27,Second Level,Coding correction,CMN,OVERTURNED,2026-02-24,407.25,Nancy Thomas,30,Documentation sufficient
APP-00012,DEN-000023,CLM-0000140,LOC-0385,MEDICARE,2026-04-23,First Level,CMN submitted,Medical Records,PARTIAL,2026-05-05,87.4,Linda Martin,21,Partial payment approved
APP-00013,DEN-000024,CLM-0000144,LOC-0082,MEDICARE,2026-02-18,First Level,Coding correction,Prescription,UPHELD,2026-03-18,0,James Gonzalez,24,Still under review
APP-00014,DEN-000028,CLM-0000168,LOC-0044,MEDICARE,2026-03-21,Second Level,Prior auth obtained retroactively,Medical Records,PENDING,,0,Richard Jackson,,Documentation sufficient
APP-00015,DEN-000031,CLM-0000179,LOC-0572,BCBS,2026-03-10,Second Level,Coding correction,CMN,UPHELD,2026-03-27,0,Robert Lopez,54,Documentation sufficient
APP-00016,DEN-000033,CLM-0000192,LOC-0454,MEDICAID,2026-03-26,First Level,Prior auth obtained retroactively,Prior Auth Letter,PENDING,,0,Maria Hernandez,,Documentation sufficient
APP-00017,DEN-000036,CLM-0000214,LOC-0033,AETNA,2026-02-16,First Level,Additional documentation provided,PFT Results,UPHELD,2026-03-07,0,Richard Gonzalez,50,Denied - exhausted appeals
APP-00018,DEN-000037,CLM-0000217,LOC-0093,MEDICARE,2026-03-06,First Level,Coding correction,CMN,UPHELD,2026-03-24,0,Jennifer Martinez,25,Denied - exhausted appeals
APP-00019,DEN-000038,CLM-0000228,LOC-0150,AETNA,2026-02-20,First Level,Additional documentation provided,Medical Records,PENDING,,0,Michael Miller,,Still under review
